date,dow,TEMP,RH,pm25,tot,cvd,resp
04/25/1999,1,76.9,78.7964844,NA,53,18,4
04/26/1999,2,75.3,82.5269836,NA,48,13,6
04/27/1999,3,71.5,75.6661726,NA,48,15,6
04/28/1999,4,77.3,74.3834684,NA,59,19,3
04/29/1999,5,76.3,75.0597596,NA,52,15,6
04/30/1999,6,73.8,66.4326195,NA,48,17,3
05/01/1999,7,71.2,63.348443,NA,45,16,1
05/02/1999,1,70.9,65.6198197,NA,51,18,6
05/03/1999,2,73.5,81.5586783,NA,63,17,4
05/04/1999,3,76.8,87.5094529,NA,54,18,5
05/05/1999,4,80.1,76.690451,NA,58,13,4
05/06/1999,5,75.6,40.5117412,NA,42,14,6
05/07/1999,6,73.6,43.4702628,NA,48,15,3
05/08/1999,7,74.8,68.6816588,NA,43,9,4
05/09/1999,1,77.7,84.6624705,NA,43,13,3
05/10/1999,2,73.7,84.4203325,NA,60,16,2
05/11/1999,3,74.1,85.6061802,NA,57,20,2
05/12/1999,4,73.4,86.4487033,NA,48,18,2
05/13/1999,5,74.9,80.2718522,NA,55,17,1
05/14/1999,6,77.3,83.7862633,NA,54,12,5
05/15/1999,7,79.1,82.2275774,NA,47,14,3
05/16/1999,1,80.1,80.9295682,NA,45,8,6
05/17/1999,2,80,81.4665122,NA,42,11,4
05/18/1999,3,75,74.1661527,NA,45,17,2
05/19/1999,4,76.8,75.3636935,NA,57,16,3
05/20/1999,5,76.8,80.6883304,NA,47,15,6
05/21/1999,6,78.1,76.2570212,NA,40,15,3
05/22/1999,7,77.5,77.514467,NA,33,10,3
05/23/1999,1,78.3,75.2429071,NA,44,8,6
05/24/1999,2,80.2,73.1513378,NA,37,13,5
05/25/1999,3,80.5,75.6972283,NA,40,9,2
05/26/1999,4,77.5,79.1128054,NA,45,14,4
05/27/1999,5,80,73.8802799,NA,47,16,4
05/28/1999,6,75.8,76.841512,NA,49,15,3
05/29/1999,7,74.9,85.3607916,NA,40,9,3
05/30/1999,1,75.5,88.9347171,NA,49,19,0
05/31/1999,2,80.2,85.3775051,NA,56,20,3
06/01/1999,3,81,83.4602512,NA,45,12,6
06/02/1999,4,80.6,79.3553776,NA,45,15,3
06/03/1999,5,81,79.386384,NA,45,12,4
06/04/1999,6,81.8,79.9797455,8.38676426,56,21,8
06/05/1999,7,82.3,77.6534414,NA,42,13,6
06/06/1999,1,82.5,76.3840329,NA,51,14,2
06/07/1999,2,80,81.7398034,NA,39,14,6
06/08/1999,3,78.6,84.1498197,NA,43,14,4
06/09/1999,4,78,86.4032785,NA,39,16,2
06/10/1999,5,78.8,84.4446985,NA,51,14,3
06/11/1999,6,79.7,83.6564217,NA,44,13,4
06/12/1999,7,79.2,85.892161,NA,34,9,4
06/13/1999,1,78.4,86.4246721,NA,43,15,3
06/14/1999,2,78.8,80.5630562,NA,47,15,2
06/15/1999,3,78.5,85.853401,NA,38,12,2
06/16/1999,4,77,89.5998239,NA,53,18,5
06/17/1999,5,79.6,77.1671422,NA,49,17,2
06/18/1999,6,79.9,69.2406302,NA,43,13,0
06/19/1999,7,80.5,74.4295377,NA,44,9,3
06/20/1999,1,80.8,76.2358466,NA,43,25,2
06/21/1999,2,78.4,86.1358402,14.4295752,46,13,1
06/22/1999,3,78.7,88.1895636,NA,60,21,2
06/23/1999,4,79.9,87.0814975,10.1363206,32,16,2
06/24/1999,5,81.9,82.1439026,13.2634187,43,19,2
06/25/1999,6,79.7,87.9438083,NA,45,10,4
06/26/1999,7,82.2,86.0565362,NA,51,12,7
06/27/1999,1,83.7,80.9202706,12.0972622,44,10,4
06/28/1999,2,83.9,77.271049,NA,32,11,3
06/29/1999,3,83.2,75.1800622,19.8363008,40,16,2
06/30/1999,4,81.9,76.8449825,19.0942012,54,13,5
07/01/1999,5,84.1,74.2654157,NA,33,12,1
07/02/1999,6,84.1,75.0111734,15.8077602,46,17,3
07/03/1999,7,84.4,73.554663,NA,37,12,3
07/04/1999,1,83,76.9387058,NA,39,12,1
07/05/1999,2,80.9,80.7173125,21.2092626,36,13,3
07/06/1999,3,81.3,80.7464955,NA,47,17,4
07/07/1999,4,80.4,80.4109942,NA,44,11,0
07/08/1999,5,83.3,77.7360432,NA,48,14,3
07/09/1999,6,80.5,84.8287316,NA,46,11,3
07/10/1999,7,79.8,79.8282272,NA,46,17,2
07/11/1999,1,80.1,84.8051406,8.84826617,36,9,4
07/12/1999,2,82.4,79.7592492,NA,33,9,2
07/13/1999,3,78.5,87.301268,NA,37,8,3
07/14/1999,4,81.1,79.3941252,NA,44,17,1
07/15/1999,5,81.3,75.0075233,NA,41,12,3
07/16/1999,6,81.9,76.076454,NA,38,15,3
07/17/1999,7,80.9,80.4480126,NA,49,19,2
07/18/1999,1,81.5,80.4923027,NA,44,6,4
07/19/1999,2,81.5,77.3275295,NA,50,20,3
07/20/1999,3,80.2,79.3243045,NA,39,12,4
07/21/1999,4,77.5,86.6670966,NA,41,9,2
07/22/1999,5,82,76.59668,NA,42,15,4
07/23/1999,6,82.7,72.901139,NA,40,8,3
07/24/1999,7,83.5,71.7659177,NA,36,12,0
07/25/1999,1,82.4,77.9212514,NA,48,18,2
07/26/1999,2,82.8,74.3929984,NA,46,17,5
07/27/1999,3,83.7,72.7543205,NA,45,13,4
07/28/1999,4,84.5,72.5895924,NA,24,8,0
07/29/1999,5,84.6,76.0594388,NA,39,8,7
07/30/1999,6,84.2,74.5224991,NA,48,14,5
07/31/1999,7,83.6,73.4784941,NA,49,20,2
08/01/1999,1,84.3,71.8460845,NA,29,13,1
08/02/1999,2,84.7,72.8515872,NA,47,18,4
08/03/1999,3,86.2,71.321464,NA,41,16,1
08/04/1999,4,84.2,72.0767574,NA,44,17,3
08/05/1999,5,87.5,65.3224222,NA,46,17,5
08/06/1999,6,87,67.032775,NA,58,11,4
08/07/1999,7,85.2,76.3638978,NA,45,12,2
08/08/1999,1,85.1,75.3509312,NA,51,16,8
08/09/1999,2,85.8,72.7163585,NA,47,12,5
08/10/1999,3,86.1,73.4719556,NA,34,11,4
08/11/1999,4,85.1,75.6009269,NA,55,18,4
08/12/1999,5,85.7,74.4135568,NA,42,14,2
08/13/1999,6,86,72.4949619,NA,50,11,4
08/14/1999,7,86.4,71.3416761,NA,47,14,2
08/15/1999,1,88,62.3903415,NA,41,13,2
08/16/1999,2,84.1,64.2652405,20.983477100000002,48,16,2
08/17/1999,3,84.4,80.7043571,NA,43,11,2
08/18/1999,4,84.6,75.3061265,NA,41,13,3
08/19/1999,5,85.7,71.2708475,NA,48,14,1
08/20/1999,6,86.6,67.662421,NA,41,13,3
08/21/1999,7,85.8,71.995549,NA,46,19,1
08/22/1999,1,84,77.5361428,6.00258588,35,9,1
